Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro Prefixado;01/01/2025;01/06/2022; R$ 795,95 ;4.298.376; R$ 3.421.277.780,72 
Tesouro Selic;01/09/2024;01/06/2022; R$ 11.800,65 ;476.357; R$ 5.621.326.625,74 
Tesouro Selic;01/03/2025;01/06/2022; R$ 11.823,96 ;926.833; R$ 10.958.834.556,39 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/06/2022; R$ 1.120,54 ;1.301.931; R$ 1.458.865.217,50 
Tesouro IPCA+;15/08/2026;01/06/2022; R$ 3.366,23 ;3.789.857; R$ 12.757.531.670,71 
Tesouro Prefixado;01/01/2026;01/06/2022; R$ 768,25 ;3.738.457; R$ 2.872.060.418,54 
Tesouro Selic;01/03/2027;01/06/2022; R$ 11.707,95 ;705.607; R$ 8.261.207.747,79 
Tesouro Prefixado;01/07/2024;01/06/2022; R$ 830,61 ;3.271.153; R$ 2.717.059.169,55 
Tesouro IPCA+ com Juros Semestrais;15/08/2032;01/06/2022; R$ 4.183,30 ;110.432; R$ 461.969.546,21 
Tesouro Prefixado com Juros Semestrais;01/01/2033;01/06/2022; R$ 916,62 ;310.488; R$ 284.599.420,32 
Tesouro Prefixado;01/01/2029;01/06/2022; R$ 469,11 ;697.609; R$ 327.258.196,18 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/11/2021; R$ 3.632,38 ;36.553; R$ 132.772.851,69 
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/11/2021; R$ 1.032,52 ;112.525; R$ 116.184.004,87 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/01/2022; R$ 4.879,90 ;305.159; R$ 1.489.144.800,83 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/01/2022; R$ 4.055,38 ;488.779; R$ 1.982.184.605,13 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/01/2022; R$ 1.085,60 ;1.394.362; R$ 1.513.725.672,58 
Tesouro IPCA+;15/08/2026;01/01/2022; R$ 3.198,62 ;3.123.162; R$ 9.989.815.058,75 
Tesouro Prefixado;01/01/2026;01/01/2022; R$ 746,11 ;4.213.889; R$ 3.144.040.035,95 
Tesouro Selic;01/03/2027;01/01/2022; R$ 11.152,61 ;431.161; R$ 4.808.567.597,91 
Tesouro Prefixado;01/07/2024;01/01/2022; R$ 801,71 ;3.490.212; R$ 2.798.120.568,83 
Tesouro Prefixado com Juros Semestrais;01/01/2031;01/02/2022; R$ 1.090,13 ;1.403.848; R$ 1.530.371.471,05 
Tesouro IPCA+;15/08/2026;01/02/2022; R$ 3.224,27 ;3.232.351; R$ 10.421.969.120,43 
Tesouro Prefixado;01/01/2026;01/02/2022; R$ 749,56 ;4.186.836; R$ 3.138.264.638,01 
Tesouro Selic;01/03/2027;01/02/2022; R$ 11.248,90 ;488.831; R$ 5.498.809.623,98 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/03/2022; R$ 3.842,31 ;36.153; R$ 138.909.970,88 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/03/2022; R$ 4.950,40 ;329.494; R$ 1.631.124.520,57 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/03/2022; R$ 4.058,65 ;477.003; R$ 1.935.990.216,04 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/10/2021; R$ 3.686,49 ;36.641; R$ 135.077.164,77 
Tesouro Prefixado com Juros Semestrais;01/01/2029;01/11/2021; R$ 1.094,59 ;689.649; R$ 754.884.972,75 
Tesouro Prefixado;01/01/2022;01/11/2021; R$ 993,77 ;803.600; R$ 798.593.558,85 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/11/2021; R$ 4.355,76 ;420.274; R$ 1.830.610.972,13 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/11/2021; R$ 4.663,64 ;152.438; R$ 710.918.576,76 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/11/2021; R$ 7.300,07 ;7.748; R$ 56.563.758,13 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/11/2021; R$ 3.769,79 ;31.073; R$ 117.139.339,63 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/12/2021; R$ 1.002,75 ;269.644; R$ 270.385.533,64 
Tesouro Prefixado;01/01/2023;01/12/2021; R$ 909,31 ;3.019.323; R$ 2.745.513.259,99 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/01/2022; R$ 962,48 ;265.439; R$ 255.480.969,89 
Tesouro Prefixado com Juros Semestrais;01/01/2023;01/01/2022; R$ 1.001,87 ;111.364; R$ 111.572.991,10 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/02/2022; R$ 4.904,81 ;315.010; R$ 1.545.067.399,49 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/02/2022; R$ 3.987,36 ;482.933; R$ 1.925.626.129,37 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/03/2022; R$ 4.406,86 ;471.739; R$ 2.078.886.886,98 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/03/2022; R$ 4.659,34 ;186.336; R$ 868.200.902,32 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/03/2022; R$ 7.614,77 ;7.734; R$ 58.892.559,10 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/03/2022; R$ 3.874,41 ;30.232; R$ 117.132.890,00 
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/03/2022; R$ 4.334,40 ;328.810; R$ 1.425.192.987,65 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/03/2022; R$ 979,35 ;257.614; R$ 252.293.860,12 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/10/2021; R$ 3.977,65 ;423.493; R$ 1.684.504.340,63 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/10/2021; R$ 4.321,30 ;394.670; R$ 1.705.485.722,45 
